fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_ls_spread_net,LightGBM_turnover,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_ls_spread_net,XGBoost_turnover,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_ls_spread_net,RandomForest_turnover,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_ls_spread_net,Ensemble_turnover
14,2017-04,46,0.026908187392228798,0.17175454825778602,50.0,0.005135656189885832,0.0033356561898858317,-0.0020849074912167175,0.6,0.10823311748381129,70.0,0.03349387244129192,0.032143872441291924,0.03138168832142748,0.44999999999999996,0.054579093432007404,80.0,0.0446930788879714,0.0434930788879714,0.015964311167066297,0.4,0.14548257786000615,70.0,0.026500432902124234,0.024700432902124234,0.028432824810011748,0.6
15,2017-05,46,0.043131907757117775,0.1490595127967931,80.0,0.035304075145439734,0.033204075145439736,-0.00144877379727959,0.7,0.25871106999691645,100.0,0.06891638445496773,0.06711638445496773,0.05058102977537707,0.6,0.24156645081714462,100.0,0.057324120828442425,0.05552412082844242,0.03484170466122207,0.6,0.21085414739438788,100.0,0.06037999725294866,0.05872999725294866,0.03135553125172867,0.55
16,2017-06,46,0.04319178266430648,0.14030218933086647,70.0,0.0726247738701238,0.0703747738701238,0.06051814807362288,0.75,0.36823928461301264,80.0,0.08606199181931296,0.08366199181931296,0.05202793917849067,0.8,0.3566450817144619,80.0,0.08971105497434731,0.08731105497434731,0.08595788700261929,0.8,0.2989207523897625,70.0,0.0713773526827197,0.0692773526827197,0.0631224472021015,0.7
17,2017-07,46,0.03760352896014248,0.43731113166820845,100.0,0.13401835926364764,0.13191835926364764,0.13560726930297548,0.7,0.4892383595436324,80.0,0.08743494828782766,0.08548494828782767,0.12483123904610993,0.6499999999999999,0.5163737280296021,90.0,0.1167498305129013,0.1144998305129013,0.12282006746037182,0.75,0.48430465618254703,100.0,0.12832397757886166,0.12622397757886167,0.14034730204895562,0.7
18,2017-08,46,0.03890919417358605,-0.04779525131051495,70.0,0.029129245376111328,0.027029245376111326,-0.013319972390221379,0.7,0.057169287696577246,70.0,0.05874987960644699,0.05664987960644699,0.020282589493354215,0.7,0.04446500154178229,70.0,0.06449156856732588,0.06239156856732588,0.006463997363821562,0.7,0.014862781375269812,70.0,0.05567154299658282,0.05357154299658282,0.019112340174447913,0.7
19,2017-09,46,0.06272486628166032,-0.16879432624113475,80.0,0.05928365912218342,0.05718365912218342,-0.03083348861874862,0.7,-0.1013259327782917,70.0,0.0876721572497378,0.0860221572497378,-0.010785913038192485,0.55,-0.037064446500154176,70.0,0.08208361741348288,0.08058361741348288,-0.008889346411652621,0.5,-0.09799568300955905,80.0,0.09651381588318739,0.09471381588318739,0.009845025238791674,0.6
20,2017-10,46,0.004518534577474025,-0.02337341967314215,40.0,-0.01737588449261491,-0.01947588449261491,-0.0032042095923300803,0.7,0.04138143694110392,60.0,0.05463800669875481,0.052388006698754805,0.037762679321726736,0.75,0.09133518347209374,50.0,0.03763592473954973,0.03523592473954973,0.041405152096671845,0.8,0.021769966080789394,40.0,-0.010496049498989506,-0.012596049498989506,0.00932707545536463,0.7
21,2017-11,46,0.049190279067096464,-0.0120259019426457,80.0,0.046219780472312885,0.04441978047231288,-0.013980816214737249,0.6,0.026827012025901945,80.0,0.057097656448158715,0.055597656448158714,-0.0020020360823034614,0.5,0.038174529756398394,80.0,0.05257366961857699,0.051223669618576995,0.0020407593413285657,0.45,0.0025285229725562747,80.0,0.047181182851098936,0.04553118285109894,-0.009522239265550708,0.55
22,2017-12,46,-0.013171674882177133,-0.09059512796793093,30.0,-0.037212028264548405,-0.039162028264548406,-0.03902751027929881,0.65,-0.26586493987049026,40.0,-0.017340925360608116,-0.018690925360608117,-0.04901045575683201,0.45,-0.3582485353068147,30.0,-0.050318220795326864,-0.051368220795326866,-0.09348612972703288,0.35,-0.1805118717237126,40.0,-0.028913168951636998,-0.030713168951636997,-0.033464242483382874,0.6000000000000001
23,2018-01,46,-0.049574301770367785,0.05679925994449584,30.0,-0.0580253056437646,-0.059825305643764606,-0.003674921233002594,0.6,0.02448350292938637,40.0,-0.04196034705461248,-0.04361034705461248,0.023028561592136794,0.55,-0.007338883749614554,40.0,-0.042419163065586254,-0.04421916306558626,0.015894159224283763,0.6,0.03558433549182855,40.0,-0.036350039948118786,-0.03785003994811879,0.020181934727170676,0.5
