month,long_portfolio,short_portfolio,long_return_gross,long_return_net,ls_spread_net,turnover,nifty_return
2016-03,"BAJFINANCE.NS, EICHERMOT.NS, ADANIPORTS.NS, DIVISLAB.NS, CIPLA.NS, SUNPHARMA.NS, UPL.NS, INDUSINDBK.NS, ICICIBANK.NS, SHREECEM.NS","WIPRO.NS, ULTRACEMCO.NS, COALINDIA.NS, AXISBANK.NS, TCS.NS, ONGC.NS, ITC.NS, GRASIM.NS, HEROMOTOCO.NS, INFY.NS",0.031303832604009804,0.028303832604009805,0.006790659005645638,1.0,0.027751114084171892
2016-04,"MARUTI.NS, BAJFINANCE.NS, SBIN.NS, EICHERMOT.NS, NESTLEIND.NS, JSWSTEEL.NS, DIVISLAB.NS, BAJAJFINSV.NS, SUNPHARMA.NS, BHARTIARTL.NS","CIPLA.NS, NTPC.NS, DRREDDY.NS, POWERGRID.NS, M&M.NS, ITC.NS, BRITANNIA.NS, WIPRO.NS, AXISBANK.NS, COALINDIA.NS",0.032533595605410665,0.030733595605410665,-0.004201947060985273,0.6,0.03881352735889965
2016-05,"BAJFINANCE.NS, SBIN.NS, TECHM.NS, MARUTI.NS, HINDALCO.NS, EICHERMOT.NS, BRITANNIA.NS, SHREECEM.NS, NESTLEIND.NS, INDUSINDBK.NS","BPCL.NS, AXISBANK.NS, NTPC.NS, DRREDDY.NS, CIPLA.NS, BAJAJ-AUTO.NS, COALINDIA.NS, TATASTEEL.NS, JSWSTEEL.NS, ITC.NS",0.09035258562310655,0.08795258562310655,-0.007021327693417109,0.8,0.0739034093557742
2016-06,"BAJFINANCE.NS, HINDALCO.NS, ADANIPORTS.NS, SHREECEM.NS, BAJAJFINSV.NS, MARUTI.NS, ONGC.NS, JSWSTEEL.NS, SBIN.NS, INDUSINDBK.NS","NTPC.NS, TCS.NS, HINDUNILVR.NS, RELIANCE.NS, COALINDIA.NS, LT.NS, POWERGRID.NS, TECHM.NS, ITC.NS, TITAN.NS",0.16766854768716746,0.16496854768716745,0.1219193659028055,0.9,0.07806144247902785
2016-07,"BAJFINANCE.NS, BAJAJFINSV.NS, ADANIPORTS.NS, ICICIBANK.NS, HINDALCO.NS, SHREECEM.NS, MARUTI.NS, BRITANNIA.NS, JSWSTEEL.NS, TATASTEEL.NS","TECHM.NS, COALINDIA.NS, SUNPHARMA.NS, POWERGRID.NS, NESTLEIND.NS, TATACONSUM.NS, INFY.NS, TCS.NS, HCLTECH.NS, ASIANPAINT.NS",0.08661308075357751,0.08526308075357751,0.11141411966262564,0.44999999999999996,0.027829868968168636
2016-08,"BAJAJFINSV.NS, BAJFINANCE.NS, BRITANNIA.NS, MARUTI.NS, EICHERMOT.NS, APOLLOHOSP.NS, SUNPHARMA.NS, GRASIM.NS, INDUSINDBK.NS, SHREECEM.NS","TITAN.NS, BAJAJ-AUTO.NS, RELIANCE.NS, NTPC.NS, COALINDIA.NS, ONGC.NS, TECHM.NS, NESTLEIND.NS, CIPLA.NS, ITC.NS",0.03741075200534742,0.03561075200534742,0.0457523339087179,0.6,0.0048497252552174444
2016-09,"BAJFINANCE.NS, BAJAJFINSV.NS, ADANIPORTS.NS, DRREDDY.NS, SHREECEM.NS, UPL.NS, MARUTI.NS, EICHERMOT.NS, JSWSTEEL.NS, INDUSINDBK.NS","M&M.NS, NTPC.NS, TCS.NS, HINDALCO.NS, ITC.NS, TITAN.NS, COALINDIA.NS, ONGC.NS, NESTLEIND.NS, POWERGRID.NS",-0.08302630341567238,-0.08422630341567239,-0.054315442772061205,0.4,-0.06212920469914317
2016-10,"BAJFINANCE.NS, BAJAJFINSV.NS, HINDALCO.NS, AXISBANK.NS, INFY.NS, UPL.NS, ASIANPAINT.NS, JSWSTEEL.NS, TATASTEEL.NS, WIPRO.NS","SBIN.NS, M&M.NS, TCS.NS, DIVISLAB.NS, ITC.NS, BHARTIARTL.NS, ONGC.NS, NTPC.NS, NESTLEIND.NS, KOTAKBANK.NS",-0.039924228514079084,-0.041424228514079085,-0.016729143270072314,0.5,-0.04738134087789096
2016-11,"BAJAJFINSV.NS, SHREECEM.NS, APOLLOHOSP.NS, HINDALCO.NS, BAJFINANCE.NS, KOTAKBANK.NS, INDUSINDBK.NS, UPL.NS, BRITANNIA.NS, EICHERMOT.NS","ITC.NS, CIPLA.NS, SUNPHARMA.NS, COALINDIA.NS, WIPRO.NS, TECHM.NS, HCLTECH.NS, POWERGRID.NS, NTPC.NS, ONGC.NS",0.017142197674526342,0.014742197674526343,0.003973034099010172,0.8,0.011307394585830128
2016-12,"BAJAJFINSV.NS, DIVISLAB.NS, SHREECEM.NS, HINDALCO.NS, BAJFINANCE.NS, UPL.NS, MARUTI.NS, ONGC.NS, INDUSINDBK.NS, TITAN.NS","ASIANPAINT.NS, TECHM.NS, NESTLEIND.NS, COALINDIA.NS, ITC.NS, TCS.NS, RELIANCE.NS, POWERGRID.NS, NTPC.NS, HCLTECH.NS",0.15000229765363432,0.14850229765363432,0.09897214548917027,0.5,0.09639725514595693
2017-01,"DIVISLAB.NS, BAJFINANCE.NS, SHREECEM.NS, ADANIPORTS.NS, INDUSINDBK.NS, HINDALCO.NS, UPL.NS, EICHERMOT.NS, BAJAJFINSV.NS, BPCL.NS","ULTRACEMCO.NS, COALINDIA.NS, POWERGRID.NS, TCS.NS, ONGC.NS, INFY.NS, NESTLEIND.NS, NTPC.NS, HCLTECH.NS, ITC.NS",0.08181795536765048,0.07956795536765048,0.04252541667222389,0.75,0.07058185897362441
2017-02,"BAJFINANCE.NS, HINDALCO.NS, MARUTI.NS, DIVISLAB.NS, SHREECEM.NS, BAJAJFINSV.NS, SUNPHARMA.NS, ASIANPAINT.NS, BHARTIARTL.NS, ULTRACEMCO.NS","ICICIBANK.NS, UPL.NS, WIPRO.NS, SBIN.NS, ONGC.NS, NESTLEIND.NS, CIPLA.NS, TATACONSUM.NS, ITC.NS, HCLTECH.NS",0.037142373966736766,0.03474237396673677,0.010000701306247615,0.8,0.026559231565686233
2017-03,"BAJFINANCE.NS, BAJAJFINSV.NS, HINDALCO.NS, SHREECEM.NS, MARUTI.NS, TATASTEEL.NS, GRASIM.NS, JSWSTEEL.NS, EICHERMOT.NS, HEROMOTOCO.NS","WIPRO.NS, KOTAKBANK.NS, COALINDIA.NS, ITC.NS, APOLLOHOSP.NS, NESTLEIND.NS, ONGC.NS, HCLTECH.NS, M&M.NS, TECHM.NS",0.10130268248262428,0.09860268248262428,0.08661567597985037,0.9,0.04991115938728706
2017-04,"BAJFINANCE.NS, BAJAJFINSV.NS, INDUSINDBK.NS, HINDALCO.NS, TITAN.NS, MARUTI.NS, BPCL.NS, ADANIPORTS.NS, SHREECEM.NS, BRITANNIA.NS","WIPRO.NS, POWERGRID.NS, CIPLA.NS, HDFCBANK.NS, NESTLEIND.NS, BHARTIARTL.NS, SUNPHARMA.NS, COALINDIA.NS, LT.NS, DIVISLAB.NS",0.026500432902124234,0.024700432902124234,0.028432824810011748,0.6,0.026908187392228798
2017-05,"BAJFINANCE.NS, HINDALCO.NS, JSWSTEEL.NS, APOLLOHOSP.NS, ULTRACEMCO.NS, BAJAJFINSV.NS, INDUSINDBK.NS, ADANIPORTS.NS, MARUTI.NS, SHREECEM.NS","HCLTECH.NS, BHARTIARTL.NS, WIPRO.NS, TCS.NS, HEROMOTOCO.NS, LT.NS, COALINDIA.NS, CIPLA.NS, HINDUNILVR.NS, ITC.NS",0.06037999725294866,0.05872999725294866,0.03135553125172867,0.55,0.043131907757117775
2017-06,"BAJFINANCE.NS, TECHM.NS, SUNPHARMA.NS, BAJAJFINSV.NS, HINDALCO.NS, MARUTI.NS, BPCL.NS, DIVISLAB.NS, TATASTEEL.NS, UPL.NS","KOTAKBANK.NS, HINDUNILVR.NS, NTPC.NS, HCLTECH.NS, TCS.NS, ICICIBANK.NS, WIPRO.NS, POWERGRID.NS, DRREDDY.NS, ITC.NS",0.0713773526827197,0.0692773526827197,0.0631224472021015,0.7,0.04319178266430648
2017-07,"BAJFINANCE.NS, BAJAJFINSV.NS, MARUTI.NS, GRASIM.NS, DIVISLAB.NS, INDUSINDBK.NS, SHREECEM.NS, HEROMOTOCO.NS, TATACONSUM.NS, JSWSTEEL.NS","ICICIBANK.NS, HCLTECH.NS, NTPC.NS, RELIANCE.NS, BPCL.NS, INFY.NS, DRREDDY.NS, WIPRO.NS, BHARTIARTL.NS, ONGC.NS",0.12832397757886166,0.12622397757886167,0.14034730204895562,0.7,0.03760352896014248
2017-08,"BAJFINANCE.NS, BAJAJFINSV.NS, JSWSTEEL.NS, MARUTI.NS, INDUSINDBK.NS, TATACONSUM.NS, RELIANCE.NS, GRASIM.NS, DIVISLAB.NS, TITAN.NS","ITC.NS, TCS.NS, HCLTECH.NS, ONGC.NS, DRREDDY.NS, SBIN.NS, WIPRO.NS, NESTLEIND.NS, BHARTIARTL.NS, TECHM.NS",0.05567154299658282,0.05357154299658282,0.019112340174447913,0.7,0.03890919417358605
2017-09,"BAJFINANCE.NS, BAJAJFINSV.NS, TATASTEEL.NS, JSWSTEEL.NS, TITAN.NS, HINDALCO.NS, RELIANCE.NS, DIVISLAB.NS, GRASIM.NS, TATACONSUM.NS","ICICIBANK.NS, ITC.NS, M&M.NS, COALINDIA.NS, SBIN.NS, BAJAJ-AUTO.NS, NESTLEIND.NS, HCLTECH.NS, ONGC.NS, TECHM.NS",0.09651381588318739,0.09471381588318739,0.009845025238791674,0.6,0.06272486628166032
