fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_ls_spread_net,LightGBM_turnover,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_ls_spread_net,XGBoost_turnover,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_ls_spread_net,RandomForest_turnover,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_ls_spread_net,Ensemble_turnover
11,2016-01,46,0.007320586999817258,0.029417206290471783,60.0,0.00920091435819985,0.006950914358199849,0.0041849369413435086,0.75,0.03780450200431699,50.0,-0.010940232375727482,-0.01334023237572748,0.002007940417906858,0.8,0.09170521122417513,60.0,0.01929634091512164,0.01689634091512164,0.015177439930493121,0.8,0.03731113166820845,70.0,0.018786513143007087,0.016386513143007087,0.023184809795635704,0.8
12,2016-02,46,0.14334885621188184,0.4613629355534998,100.0,0.19477983077786964,0.19252983077786964,0.07135368176641482,0.75,0.5177304964539007,100.0,0.20875716674247613,0.20620716674247613,0.08759498931276652,0.8500000000000001,0.4281837804502004,100.0,0.18219827618069478,0.17979827618069477,0.07701876568087994,0.8,0.4991057662658033,100.0,0.19696180057518498,0.19471180057518497,0.0837593293483023,0.75
13,2016-03,46,0.027751114084171892,0.05618254702436015,50.0,0.006165379246731739,0.0036153792467317385,-0.0028749228910788125,0.8500000000000001,0.11637372802960222,70.0,0.02494005971787938,0.02239005971787938,0.016904862369694483,0.8500000000000001,0.10046253469010176,70.0,0.0033155689289174188,0.00046556892891741865,-0.0006719174525674321,0.95,0.07591736046870182,40.0,-0.010845136646466916,-0.013395136646466917,-0.011858837174148467,0.8500000000000001
14,2016-04,46,0.03881352735889965,0.17052112241751463,80.0,0.0544790790062218,0.0523790790062218,0.04209428964554479,0.7,0.20678384212149248,90.0,0.04958185766695949,0.04748185766695949,0.015481853906352191,0.7,0.08196114708603144,80.0,0.06384951190921526,0.06174951190921526,0.02903150013009126,0.7,0.16620413197656492,80.0,0.04823115585105236,0.04628115585105236,0.008507712480566067,0.6499999999999999
15,2016-05,46,0.0739034093557742,-0.14683934628430464,100.0,0.07986301964172483,0.07761301964172483,-0.018158108765988765,0.75,-0.07567067530064756,100.0,0.07837588598673058,0.07612588598673058,-0.004494100265413553,0.75,0.05704594511255011,100.0,0.08021982899780997,0.07781982899780997,0.012869538813719439,0.8,-0.09651557200123342,100.0,0.07834689268859688,0.07609689268859687,-0.011449341754172948,0.75
16,2016-06,46,0.07806144247902785,0.31248843663274745,100.0,0.15015891792506542,0.1477589179250654,0.07301657114018188,0.8,0.11255010792476103,90.0,0.12245347499547692,0.12005347499547692,0.025719671460177382,0.8,0.3033610854147394,100.0,0.15802065874404866,0.15577065874404866,0.06683189545110482,0.75,0.2561208757323466,100.0,0.15152780271427205,0.14912780271427203,0.05922942335576738,0.8
17,2016-07,46,0.027829868968168636,0.11538698735738515,80.0,0.048193033374473,0.046243033374473,0.009864947182263592,0.6499999999999999,0.1979031760715387,80.0,0.04803462544763517,0.04638462544763517,0.016951145948363305,0.55,0.16941103916127043,90.0,0.05163664410689398,0.05013664410689398,0.03175247523607673,0.5,0.15954363243909958,80.0,0.044028712366187536,0.04237871236618754,-0.010781962282034652,0.55
18,2016-08,46,0.0048497252552174444,0.01757631822386679,60.0,-0.0044376773911285,-0.006087677391128501,-0.024290412010454756,0.55,0.12648781991982733,70.0,0.03065882721289186,0.02870882721289186,0.01799009878073814,0.6499999999999999,0.26956521739130435,70.0,0.007544006789740649,0.00619400678974065,0.007046217995760153,0.44999999999999996,0.13080481036077704,70.0,0.01256407755633147,0.01091407755633147,0.022416537290258998,0.55
19,2016-09,46,-0.06212920469914317,0.11329016342892383,30.0,-0.05132890849686224,-0.05312890849686224,0.0033325383587130067,0.6,0.0646931853222325,30.0,-0.052538953093155524,-0.05433895309315553,-0.00047850637697353926,0.6,-0.08627813752698119,30.0,-0.05494382898209953,-0.05689382898209953,-0.029653518414636322,0.6499999999999999,0.044711686709836565,20.0,-0.06913842864183792,-0.07108842864183791,-0.003879124590432409,0.65
20,2016-10,46,-0.04738134087789096,-0.13672525439407954,20.0,-0.05016353491553251,-0.052263534915532504,0.010389745202396154,0.7,-0.12032069071847054,30.0,-0.04245508925797224,-0.04440508925797224,-0.023840469025503044,0.65,-0.07665741597286463,20.0,-0.046775359979409445,-0.048725359979409445,0.006023142773540643,0.65,-0.15892691951896393,20.0,-0.054959781805870724,-0.056909781805870724,-0.0379792226838839,0.65
