month,long_portfolio,short_portfolio,long_return_gross,long_return_net,ls_spread_net,turnover,nifty_return
2015-03,"BRITANNIA.NS, MARUTI.NS, BAJFINANCE.NS, DIVISLAB.NS, KOTAKBANK.NS, ICICIBANK.NS, ASIANPAINT.NS, ADANIPORTS.NS, TCS.NS, BAJAJFINSV.NS","SHREECEM.NS, HEROMOTOCO.NS, JSWSTEEL.NS, POWERGRID.NS, LT.NS, AXISBANK.NS, BPCL.NS, WIPRO.NS, TITAN.NS, GRASIM.NS",0.027109513863923927,0.024109513863923928,0.04510373486401245,1.0,0.013305752464835889
2015-04,"BRITANNIA.NS, EICHERMOT.NS, ULTRACEMCO.NS, SHREECEM.NS, BAJFINANCE.NS, M&M.NS, APOLLOHOSP.NS, SUNPHARMA.NS, BHARTIARTL.NS, ITC.NS","TITAN.NS, LT.NS, HINDALCO.NS, HDFCBANK.NS, NTPC.NS, POWERGRID.NS, COALINDIA.NS, BPCL.NS, NESTLEIND.NS, RELIANCE.NS",0.05313956444895718,0.05103956444895718,0.054369913308033244,0.7,-0.0007105840245112321
2015-05,"BRITANNIA.NS, EICHERMOT.NS, BAJFINANCE.NS, SHREECEM.NS, RELIANCE.NS, GRASIM.NS, APOLLOHOSP.NS, HDFCBANK.NS, NTPC.NS, ADANIPORTS.NS","POWERGRID.NS, HEROMOTOCO.NS, COALINDIA.NS, JSWSTEEL.NS, AXISBANK.NS, BHARTIARTL.NS, BAJAJFINSV.NS, HCLTECH.NS, TATASTEEL.NS, LT.NS",0.0679617839125764,0.0654117839125764,0.060022019207986305,0.8500000000000001,0.0036821519722045493
2015-06,"BAJFINANCE.NS, EICHERMOT.NS, BRITANNIA.NS, ICICIBANK.NS, AXISBANK.NS, SHREECEM.NS, ADANIPORTS.NS, INDUSINDBK.NS, BAJAJ-AUTO.NS, TCS.NS","TECHM.NS, UPL.NS, TITAN.NS, M&M.NS, LT.NS, JSWSTEEL.NS, ASIANPAINT.NS, APOLLOHOSP.NS, DRREDDY.NS, COALINDIA.NS",0.04739028830903395,0.045140288309033945,-0.016826056254755473,0.75,0.03953679868839952
2015-07,"BRITANNIA.NS, EICHERMOT.NS, BAJFINANCE.NS, SHREECEM.NS, ICICIBANK.NS, ULTRACEMCO.NS, MARUTI.NS, ADANIPORTS.NS, AXISBANK.NS, HDFCBANK.NS","ITC.NS, WIPRO.NS, LT.NS, DRREDDY.NS, ONGC.NS, BAJAJ-AUTO.NS, TATACONSUM.NS, M&M.NS, APOLLOHOSP.NS, NESTLEIND.NS",-0.05874119496954132,-0.060841194969541317,0.009095294175598699,0.7,-0.06478229215445168
2015-08,"EICHERMOT.NS, DIVISLAB.NS, BRITANNIA.NS, BAJAJFINSV.NS, ICICIBANK.NS, MARUTI.NS, SHREECEM.NS, ADANIPORTS.NS, UPL.NS, ULTRACEMCO.NS","APOLLOHOSP.NS, HINDALCO.NS, ITC.NS, NESTLEIND.NS, HINDUNILVR.NS, HCLTECH.NS, INFY.NS, DRREDDY.NS, TITAN.NS, WIPRO.NS",-0.0029683164134557322,-0.004768316413455732,-0.018237687396101966,0.6,0.020440481155317207
2015-09,"EICHERMOT.NS, BAJFINANCE.NS, BAJAJFINSV.NS, ADANIPORTS.NS, BRITANNIA.NS, TITAN.NS, SHREECEM.NS, ULTRACEMCO.NS, AXISBANK.NS, CIPLA.NS","POWERGRID.NS, HINDUNILVR.NS, APOLLOHOSP.NS, KOTAKBANK.NS, HCLTECH.NS, NTPC.NS, WIPRO.NS, TATACONSUM.NS, DRREDDY.NS, INFY.NS",-0.01255209953079581,-0.01375209953079581,0.025304423448098263,0.4,-0.008376825318830156
2015-10,"BRITANNIA.NS, AXISBANK.NS, COALINDIA.NS, KOTAKBANK.NS, ADANIPORTS.NS, EICHERMOT.NS, BAJFINANCE.NS, UPL.NS, HINDALCO.NS, INDUSINDBK.NS","GRASIM.NS, NTPC.NS, TATASTEEL.NS, ONGC.NS, HCLTECH.NS, WIPRO.NS, ITC.NS, JSWSTEEL.NS, TCS.NS, DRREDDY.NS",-0.04980205664462091,-0.05205205664462091,-0.02487623414481318,0.75,-0.0278204834889899
2015-11,"BAJAJFINSV.NS, MARUTI.NS, ADANIPORTS.NS, UPL.NS, DIVISLAB.NS, DRREDDY.NS, INDUSINDBK.NS, SHREECEM.NS, BAJFINANCE.NS, BHARTIARTL.NS","BAJAJ-AUTO.NS, WIPRO.NS, ONGC.NS, NTPC.NS, ITC.NS, TATASTEEL.NS, HINDALCO.NS, TATACONSUM.NS, M&M.NS, RELIANCE.NS",-0.0258626220694675,-0.027512622069467498,-0.0180362780285687,0.55,-0.027800424814704773
2015-12,"BAJFINANCE.NS, BAJAJFINSV.NS, TITAN.NS, AXISBANK.NS, MARUTI.NS, TCS.NS, SHREECEM.NS, INDUSINDBK.NS, BPCL.NS, DRREDDY.NS","TATASTEEL.NS, ONGC.NS, ITC.NS, EICHERMOT.NS, RELIANCE.NS, INFY.NS, BAJAJ-AUTO.NS, POWERGRID.NS, NTPC.NS, HCLTECH.NS",-0.09953796662543145,-0.10193796662543145,-0.023203551701941702,0.8,-0.10196154059857557
