fold,test_month,n_stocks,nifty_return,regime,avg_corr,nifty_vol,position_scale,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_bot10_gross,LightGBM_ls_spread_net,LightGBM_turnover,LightGBM_position_scale,LightGBM_n_long,LightGBM_n_short,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_bot10_gross,XGBoost_ls_spread_net,XGBoost_turnover,XGBoost_position_scale,XGBoost_n_long,XGBoost_n_short,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_bot10_gross,RandomForest_ls_spread_net,RandomForest_turnover,RandomForest_position_scale,RandomForest_n_long,RandomForest_n_short,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_bot10_gross,Ensemble_ls_spread_net,Ensemble_turnover,Ensemble_position_scale,Ensemble_n_long,Ensemble_n_short
11,2016-01,46,0.007320586999817258,normal,0.3055,0.1307,1.0,0.029417206290471783,60.0,0.00920091435819985,0.006950914358199849,0.0005159774168563398,0.0041849369413435086,0.75,1.0,10,10,0.03780450200431699,50.0,-0.010940232375727482,-0.01334023237572748,-0.01774817279363434,0.002007940417906858,0.8,1.0,10,10,0.09170521122417513,60.0,0.01929634091512164,0.01689634091512164,-0.0006810990153714794,0.015177439930493121,0.8,1.0,10,10,0.03731113166820845,70.0,0.018786513143007087,0.016386513143007087,-0.009198296652628618,0.023184809795635704,0.8,1.0,10,10
12,2016-02,46,0.14334885621188184,normal,0.3297,0.1828,0.899,0.4613629355534998,100.0,0.1998997656253474,0.17785570179718732,0.08228755556382181,0.1020250018453115,0.6875,0.899,8,8,0.5177304964539007,100.0,0.22240924976444537,0.1975860405382364,0.11719962515956,0.08986370251979195,0.875,0.899,8,8,0.4281837804502004,100.0,0.18930657054496508,0.1679952944199236,0.11744182974380032,0.06022377698024711,0.8125,0.899,8,8,0.4991057662658033,100.0,0.20605240936554564,0.18304980351962555,0.11610226529838405,0.07648255451637828,0.8125,0.899,8,8
13,2016-03,46,0.027751114084171892,normal,0.3242,0.217,0.794,0.05618254702436015,42.857142857142854,-0.01515567955122257,-0.014245466706527862,-0.0023348053717128134,-0.014603488384245031,0.9285714285714286,0.794,7,7,0.11637372802960222,57.14285714285714,0.0050788319582522985,0.0018207354319951822,-0.008754555476110357,0.006559995337169663,0.9285714285714286,0.794,7,7,0.10046253469010176,57.14285714285714,-0.01900599324970073,-0.01747275864026238,0.010612523592309516,-0.028281102372556134,1.0,0.794,7,7,0.07591736046870182,42.857142857142854,-0.011881995866645427,-0.01181630471811647,-0.010382765183990629,-0.005954389162027911,1.0,0.794,7,7
14,2016-04,46,0.03881352735889965,normal,0.293,0.1743,0.925,0.17052112241751463,77.77777777777779,0.044396344453190274,0.03906245195253434,0.0143791917799298,0.02375753288943261,0.7222222222222222,0.925,9,9,0.20678384212149248,88.88888888888889,0.04731423012678074,0.04160732953393885,0.02166721142457067,0.019406825632877645,0.7777777777777778,0.925,9,9,0.08196114708603144,77.77777777777779,0.05480793656762747,0.04853900799172208,0.03528496704472403,0.013742080142019018,0.7777777777777777,0.925,9,9,0.16620413197656492,77.77777777777779,0.04699037370520552,0.04146192901064844,0.04106877992401547,0.001469140914267461,0.7222222222222222,0.925,9,9
15,2016-05,46,0.0739034093557742,normal,0.2939,0.1617,0.964,-0.14683934628430464,100.0,0.07991954159834468,0.07479310476747092,0.09864167141721086,-0.022546799812053694,0.7777777777777777,0.964,9,9,-0.07567067530064756,100.0,0.08531105119957808,0.07982985335639327,0.08180706902213367,-0.001442161180943577,0.8333333333333333,0.964,9,9,0.05704594511255011,100.0,0.08851609911432687,0.08308018621287776,0.07168136640730935,0.011730015662898205,0.7777777777777777,0.964,9,9,-0.09651557200123342,100.0,0.082817806675254,0.07774769896827818,0.09312921693780346,-0.014117532826431023,0.7222222222222222,0.964,9,9
16,2016-06,46,0.07806144247902785,normal,0.1846,0.1452,1.0,0.31248843663274745,100.0,0.15015891792506542,0.1477589179250654,0.07234234678488352,0.07301657114018188,0.8,1.0,10,10,0.11255010792476103,90.0,0.12245347499547692,0.12005347499547692,0.09193380353529954,0.025719671460177382,0.8,1.0,10,10,0.3033610854147394,100.0,0.15802065874404866,0.15577065874404866,0.08668876329294384,0.06683189545110482,0.75,1.0,10,10,0.2561208757323466,100.0,0.15152780271427205,0.14912780271427203,0.08749837935850466,0.05922942335576738,0.8,1.0,10,10
17,2016-07,46,0.027829868968168636,normal,0.1858,0.1296,1.0,0.11538698735738515,80.0,0.048193033374473,0.046243033374473,0.034428086192209405,0.009864947182263592,0.6499999999999999,1.0,10,10,0.1979031760715387,80.0,0.04803462544763517,0.04638462544763517,0.027783479499271867,0.016951145948363305,0.55,1.0,10,10,0.16941103916127043,90.0,0.05163664410689398,0.05013664410689398,0.01688416887081725,0.03175247523607673,0.5,1.0,10,10,0.15954363243909958,80.0,0.044028712366187536,0.04237871236618754,0.05151067464822219,-0.010781962282034652,0.55,1.0,10,10
18,2016-08,46,0.0048497252552174444,normal,0.1074,0.0934,1.0,0.01757631822386679,60.0,-0.0044376773911285,-0.006087677391128501,0.016552734619326256,-0.024290412010454756,0.55,1.0,10,10,0.12648781991982733,70.0,0.03065882721289186,0.02870882721289186,0.008768728432153719,0.01799009878073814,0.6499999999999999,1.0,10,10,0.26956521739130435,70.0,0.007544006789740649,0.00619400678974065,-0.0022022112060195026,0.007046217995760153,0.44999999999999996,1.0,10,10,0.13080481036077704,70.0,0.01256407755633147,0.01091407755633147,-0.01315245973392753,0.022416537290258998,0.55,1.0,10,10
19,2016-09,46,-0.06212920469914317,normal,0.1952,0.1099,1.0,0.11329016342892383,30.0,-0.05132890849686224,-0.05312890849686224,-0.05826144685557525,0.0033325383587130067,0.6,1.0,10,10,0.0646931853222325,30.0,-0.052538953093155524,-0.05433895309315553,-0.05566044671618199,-0.00047850637697353926,0.6,1.0,10,10,-0.08627813752698119,30.0,-0.05494382898209953,-0.05689382898209953,-0.029190310567463205,-0.029653518414636322,0.6499999999999999,1.0,10,10,0.044711686709836565,20.0,-0.06913842864183792,-0.07108842864183791,-0.0691593040514055,-0.003879124590432409,0.65,1.0,10,10
20,2016-10,46,-0.04738134087789096,normal,0.3013,0.1309,1.0,-0.13672525439407954,20.0,-0.05016353491553251,-0.052263534915532504,-0.06475328011792866,0.010389745202396154,0.7,1.0,10,10,-0.12032069071847054,30.0,-0.04245508925797224,-0.04440508925797224,-0.0225146202324692,-0.023840469025503044,0.65,1.0,10,10,-0.07665741597286463,20.0,-0.046775359979409445,-0.048725359979409445,-0.05669850275295009,0.006023142773540643,0.65,1.0,10,10,-0.15892691951896393,20.0,-0.054959781805870724,-0.056909781805870724,-0.02088055912198682,-0.0379792226838839,0.65,1.0,10,10
21,2016-11,46,0.011307394585830128,normal,0.2845,0.1324,1.0,0.09947579401788467,40.0,0.00309536598821212,0.00024536598821211977,-0.01773857732728993,0.015133943315502048,0.95,1.0,10,10,-0.05803268578476719,50.0,0.01795042296063155,0.01525042296063155,0.01799649834443854,-0.005446075383806991,0.9,1.0,10,10,0.18199198273203823,60.0,0.02602880450542479,0.02332880450542479,-0.01046149019518541,0.0310902947006102,0.9,1.0,10,10,0.052975639839654635,40.0,0.0030953659882121203,0.00039536598821212016,0.00433418022477127,-0.006638814236559151,0.9,1.0,10,10
