month,regime,position_scale,avg_corr,nifty_vol,n_long,n_short,long_portfolio,short_portfolio,long_return_gross,long_return_net,ls_spread_net,turnover,nifty_return
2016-01,normal,1.0,0.3055,0.1307,10,10,"BAJFINANCE.NS, BAJAJFINSV.NS, MARUTI.NS, SBIN.NS, EICHERMOT.NS, UPL.NS, BRITANNIA.NS, BPCL.NS, SHREECEM.NS, ASIANPAINT.NS","RELIANCE.NS, HINDALCO.NS, SUNPHARMA.NS, WIPRO.NS, ITC.NS, POWERGRID.NS, HCLTECH.NS, APOLLOHOSP.NS, ONGC.NS, INFY.NS",0.018786513143007087,0.016386513143007087,0.023184809795635704,0.8,0.007320586999817258
2016-02,normal,0.899,0.3297,0.1828,8,8,"BAJFINANCE.NS, SHREECEM.NS, SBIN.NS, TITAN.NS, ADANIPORTS.NS, MARUTI.NS, GRASIM.NS, ULTRACEMCO.NS","ASIANPAINT.NS, BHARTIARTL.NS, UPL.NS, WIPRO.NS, RELIANCE.NS, HINDUNILVR.NS, SUNPHARMA.NS, INFY.NS",0.20605240936554564,0.18304980351962555,0.07648255451637828,0.8125,0.14334885621188184
2016-03,normal,0.794,0.3242,0.217,7,7,"ADANIPORTS.NS, BAJFINANCE.NS, SBIN.NS, SHREECEM.NS, DIVISLAB.NS, EICHERMOT.NS, ONGC.NS","POWERGRID.NS, HCLTECH.NS, ULTRACEMCO.NS, ITC.NS, COALINDIA.NS, INFY.NS, HEROMOTOCO.NS",-0.011881995866645427,-0.01181630471811647,-0.005954389162027911,1.0,0.027751114084171892
2016-04,normal,0.925,0.293,0.1743,9,9,"BAJAJFINSV.NS, BAJFINANCE.NS, APOLLOHOSP.NS, DIVISLAB.NS, TITAN.NS, SHREECEM.NS, MARUTI.NS, RELIANCE.NS, UPL.NS","HINDALCO.NS, SBIN.NS, ITC.NS, ICICIBANK.NS, DRREDDY.NS, ADANIPORTS.NS, WIPRO.NS, ONGC.NS, COALINDIA.NS",0.04699037370520552,0.04146192901064844,0.001469140914267461,0.7222222222222222,0.03881352735889965
2016-05,normal,0.964,0.2939,0.1617,9,9,"BAJFINANCE.NS, BRITANNIA.NS, BAJAJFINSV.NS, ASIANPAINT.NS, HINDUNILVR.NS, NESTLEIND.NS, BHARTIARTL.NS, APOLLOHOSP.NS, INDUSINDBK.NS","SBIN.NS, HEROMOTOCO.NS, AXISBANK.NS, DRREDDY.NS, COALINDIA.NS, ONGC.NS, TATASTEEL.NS, ICICIBANK.NS, ITC.NS",0.082817806675254,0.07774769896827818,-0.014117532826431023,0.7222222222222222,0.0739034093557742
2016-06,normal,1.0,0.1846,0.1452,10,10,"BAJFINANCE.NS, BRITANNIA.NS, BAJAJFINSV.NS, INDUSINDBK.NS, DIVISLAB.NS, EICHERMOT.NS, MARUTI.NS, JSWSTEEL.NS, ASIANPAINT.NS, RELIANCE.NS","HEROMOTOCO.NS, HCLTECH.NS, ULTRACEMCO.NS, SBIN.NS, COALINDIA.NS, ITC.NS, POWERGRID.NS, ADANIPORTS.NS, ICICIBANK.NS, NTPC.NS",0.15152780271427205,0.14912780271427203,0.05922942335576738,0.8,0.07806144247902785
2016-07,normal,1.0,0.1858,0.1296,10,10,"BAJFINANCE.NS, BAJAJFINSV.NS, DIVISLAB.NS, SHREECEM.NS, HINDALCO.NS, INDUSINDBK.NS, BAJAJ-AUTO.NS, HINDUNILVR.NS, JSWSTEEL.NS, APOLLOHOSP.NS","ITC.NS, UPL.NS, HCLTECH.NS, INFY.NS, MARUTI.NS, SBIN.NS, ONGC.NS, ASIANPAINT.NS, COALINDIA.NS, TECHM.NS",0.044028712366187536,0.04237871236618754,-0.010781962282034652,0.55,0.027829868968168636
2016-08,normal,1.0,0.1074,0.0934,10,10,"BAJFINANCE.NS, HINDALCO.NS, BAJAJFINSV.NS, HINDUNILVR.NS, INFY.NS, APOLLOHOSP.NS, MARUTI.NS, JSWSTEEL.NS, BHARTIARTL.NS, ADANIPORTS.NS","TITAN.NS, HDFCBANK.NS, HEROMOTOCO.NS, M&M.NS, RELIANCE.NS, WIPRO.NS, ONGC.NS, ITC.NS, CIPLA.NS, TECHM.NS",0.01256407755633147,0.01091407755633147,0.022416537290258998,0.55,0.0048497252552174444
2016-09,normal,1.0,0.1952,0.1099,10,10,"BAJFINANCE.NS, BAJAJFINSV.NS, ADANIPORTS.NS, JSWSTEEL.NS, UPL.NS, SHREECEM.NS, HINDALCO.NS, NESTLEIND.NS, HINDUNILVR.NS, ULTRACEMCO.NS","COALINDIA.NS, ASIANPAINT.NS, BHARTIARTL.NS, INFY.NS, NTPC.NS, TCS.NS, EICHERMOT.NS, WIPRO.NS, HCLTECH.NS, ONGC.NS",-0.06913842864183792,-0.07108842864183791,-0.003879124590432409,0.65,-0.06212920469914317
2016-10,normal,1.0,0.3013,0.1309,10,10,"HINDALCO.NS, BAJAJFINSV.NS, BAJFINANCE.NS, JSWSTEEL.NS, UPL.NS, TATASTEEL.NS, TATACONSUM.NS, BPCL.NS, APOLLOHOSP.NS, GRASIM.NS","HEROMOTOCO.NS, HDFCBANK.NS, HCLTECH.NS, POWERGRID.NS, SBIN.NS, AXISBANK.NS, BAJAJ-AUTO.NS, SUNPHARMA.NS, NTPC.NS, M&M.NS",-0.054959781805870724,-0.056909781805870724,-0.0379792226838839,0.65,-0.04738134087789096
