Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,Train Dir Acc,Test Dir Acc
Random Forest,0.06888311686716671,0.07960028923948423,0.05457749667445376,0.06229093946155371,0.4280615544140761,-3.131330248740127e-05,0.7433252117019645,0.5840559918060771
XGBoost,0.05724316818817688,0.08402342215717354,0.04506416812530553,0.06586890871643804,0.6050237019641596,-0.11425614768788539,0.7997819086401663,0.5735063161488563
LightGBM,0.06255837930986406,0.08272723836762488,0.04952899188915942,0.06504882425671314,0.5282687051648325,-0.08014326223138646,0.774207289022167,0.5868555821099352
