fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate,LightGBM_top10_return,LightGBM_bot10_return,LightGBM_ls_spread,LightGBM_n_stocks,XGBoost_rank_ic,XGBoost_hit_rate,XGBoost_top10_return,XGBoost_bot10_return,XGBoost_ls_spread,XGBoost_n_stocks,RandomForest_rank_ic,RandomForest_hit_rate,RandomForest_top10_return,RandomForest_bot10_return,RandomForest_ls_spread,RandomForest_n_stocks,Ensemble_rank_ic,Ensemble_hit_rate,Ensemble_top10_return,Ensemble_bot10_return,Ensemble_ls_spread,Ensemble_n_stocks
36,2019-02,46,0.0885019672340586,-0.03558433549182855,1.0,0.09588868989956825,0.10147679763449732,-0.005588107734929071,46,-0.06173296330558124,1.0,0.08041164946191381,0.0974545861253647,-0.017042936663450886,46,0.0667900092506938,1.0,0.0995528307216449,0.08588577552339724,0.013667055198247666,46,-0.009065679925994448,1.0,0.09326742498238372,0.0906884097372254,0.0025790152451583143,46
37,2019-03,46,-0.00919286707045328,-0.07949429540548875,0.2,-0.0350265739126205,-0.00041258629341780833,-0.03461398761920269,46,-0.036201048411964226,0.4,-0.008083489180102604,0.00858067296496703,-0.016664162145069633,46,0.12266419981498612,0.5,0.01618594807060881,-0.0309628002953277,0.04714874836593651,46,-0.02362010484119642,0.4,-0.0001544692448696622,-0.008767599152485688,0.008613129907616026,46
38,2019-04,46,0.017745677792411162,0.20752389762565526,0.7,0.04771959250646971,0.017033253640102768,0.030686338866366944,46,0.07542399013259327,0.6,0.019251708948347396,-0.004635398810988269,0.023887107759335665,46,0.26105457909343205,0.6,0.036824435806454905,-0.023522102051680004,0.06034653785813491,46,0.15942028985507248,0.7,0.044389854528658665,0.001242222973401957,0.04314763155525671,46
39,2019-05,46,-0.027603759912222477,-0.00030835646006783845,0.4,-0.026202398021486717,-0.044600790875376606,0.01839839285388989,46,-0.032377428307123035,0.1,-0.05309272793870405,-0.03316734270023401,-0.01992538523847004,46,-0.08442799876657416,0.3,-0.039834799160103636,-0.00932356936139666,-0.030511229798706976,46,0.02189330866481653,0.2,-0.04256414344928854,-0.049670426769192685,0.007106283319904143,46
40,2019-06,46,-0.06157960713687418,0.22244835029293863,0.3,-0.04070741105038694,-0.09819052081812114,0.05748310976773421,46,0.044711686709836565,0.3,-0.05497327566270197,-0.08205548092663673,0.027082205263934754,46,0.040024668516805424,0.2,-0.07248845086201,-0.09033667082868743,0.01784821996667743,46,0.13265494912118408,0.2,-0.07601696649686515,-0.08136969397025107,0.005352727473385915,46
41,2019-07,46,-0.011131901841812243,-0.14437249460376195,0.3,-0.02165681446816208,0.003361113261755289,-0.02501792772991737,46,0.03003391921060746,0.4,-0.011405943069172053,0.0048713335017994104,-0.016277276570971465,46,-0.05642923219241443,0.3,-0.02384668534384323,-0.003971649534737249,-0.019875035809105983,46,-0.08689485044711685,0.3,-0.01626873017550284,0.006524843325348359,-0.0227935735008512,46
42,2019-08,47,0.06469276928177602,0.41234967622571694,1.0,0.12469632858062867,0.02655409867935512,0.09814222990127355,47,0.2595975948196115,0.9,0.09637739098501295,0.049879940609184395,0.04649745037582856,47,0.2320767807585569,0.9,0.10041610701057457,0.039298720431307554,0.06111738657926702,47,0.32469935245143383,0.9,0.10277548291097016,0.02277446857728791,0.08000101433368226,47
43,2019-09,48,0.03158661489390182,-0.10366912722535823,0.6,-0.01574705275938989,0.052275472602293205,-0.0680225253616831,48,-0.12787668258792878,0.6,0.010653700726838041,0.03946572968850511,-0.02881202896166707,48,0.05753365175857577,0.8,0.042533611613743735,0.005694318981976168,0.036839292631767565,48,-0.051454624402952676,0.6,0.0047949688937944015,0.042291967635864215,-0.03749699874206981,48
44,2019-10,48,-0.003131533924763128,0.17965696917064697,0.7,0.05690774380429473,-0.00920456852531469,0.06611231232960943,48,0.16760746851932265,0.7,0.04482306998494806,-0.015540226887794056,0.06036329687274212,48,0.12049500651324359,0.6,0.02694771257062497,0.010042923026155351,0.01690478954446962,48,0.1895353886235345,0.7,0.052422676171303764,-0.0019160785712931297,0.0543387547425969,48
45,2019-11,48,0.024467716648444094,0.16901867129830656,0.5,0.016270893969059612,0.006419430965868269,0.009851463003191343,48,0.07859313938341293,0.6,0.02807367265270777,0.013606222158452214,0.014467450494255556,48,-0.0322405557967868,0.6,0.028960510233864183,0.04770275623077509,-0.01874224599691091,48,0.12537993920972643,0.5,0.029567453889786387,0.00932435676068993,0.020243097129096457,48
46,2019-12,48,0.01365849363359084,0.24891445940078155,0.5,0.014074020611977841,-0.04982209123395454,0.06389611184593239,48,0.0930308293530178,0.6,0.047858603989783005,-0.012920427821751828,0.06077903181153484,48,0.37689969604863227,0.7,0.06252524226991144,-0.042326375694471396,0.10485161796438283,48,0.2323056882327399,0.5,0.030780157000884996,-0.017841407294991098,0.048621564295876094,48
47,2020-01,48,-0.16252939863756308,0.12852800694745983,0.0,-0.17248329471643384,-0.16377998157653328,-0.008703313139900554,48,0.2107034303082935,0.0,-0.13084692859061509,-0.17739803663295173,0.04655110804233664,48,0.2747503256621798,0.0,-0.1464476056375391,-0.18206076273851463,0.03561315710097551,48,0.23501953973078593,0.0,-0.1520340637423056,-0.16829360502816912,0.016259541285863516,48
48,2020-02,37,-0.08041078776362878,-0.07989568515884304,0.2,-0.0706568622937345,-0.07564673390048228,0.004989871606747784,37,-0.15339023233760074,0.2,-0.07783114930370907,-0.06990883921254445,-0.00792231009116462,37,-0.09435751541014697,0.2,-0.07393363934989758,-0.032145633066617156,-0.04178800628328042,37,-0.08084400189663347,0.2,-0.06474209903134312,-0.02342116055099481,-0.04132093848034831,37
49,2020-03,46,0.07903240386576653,-0.1267345050878816,0.6,0.05262505531748367,0.08371816885008607,-0.0310931135326024,46,-0.12550107924761023,0.5,0.025662243846611858,0.11929806016508368,-0.09363581631847182,46,-0.12266419981498612,0.5,0.02430318768657267,0.06269969240624342,-0.038396504719670745,46,-0.14449583718778908,0.5,0.02764258167891408,0.09053619441924696,-0.06289361274033288,46
50,2020-04,48,0.02624483667229857,-0.09455058619192358,0.5,0.0020212004509647984,0.03078666007621344,-0.02876545962524864,48,-0.09563612679114199,0.5,-0.010475901326981141,0.02435972166084826,-0.0348356229878294,48,-0.11463308727746417,0.6,-0.00352469926211675,0.017623150985272028,-0.02114785024738878,48,-0.1265740338688667,0.6,0.024949629222080744,0.03195473490254532,-0.007005105680464578,48
